1,Babidi,Wizard,20,1,Mind Control |$%Summon Majins
2,Broly,Saiyan,2000000,300000,Gigantic Meteor |$%Omega Blaster
3,Cooler,Frieza's Race,600000,500000,Supernova |$%Death Beam
4,Pui Pui,Alien,6000,700,Dimension Gate |$%Machinegun Punch
5,Spopovich,Humano,1200,300,Flight |$%Energy Blast
6,Kaio-sama,Shin-jin,50000,2500,Time Manipulation |$%Teleportation
7,Yakon,Demon,8000,1500,Darkness Illusion |$%Devour Light
8,Yamu,Humano,1300,350,Absorb Ki |$%Flight
9,Androide 19,Androide,320,400,Energy Drain|$%Eye Laser
10,Androide 16,Androide,2500,4000,Misiles |$%Explosión solar |$%Auto-reparación
11,Androide 17,Androide-Humano,4000,4200,Barrera de energía |$%Ataque combinado |$%Explosión de ki
12,Androide 18,Androide-Humano,3500,3800,Ki infinito |$%Garras afiladas |$%Destello de energía
13,Gohan,Saiyan-Humano,350000,5900,Magia de control mental |$%Invocación de Majin Buu |$%Magia oscura
14,Beerus,Dios de la Destrucción,15000,16000,Sphere of Destruction |$%God of Destruction's Roar |$%Temporal Do-Over
15,Cell,Artificial Life Form,900000,100000,Solar Kamehameha|$%Spirit Bomb
16,Chiaotzu,Three-Eyed People,1000,60,Telekinesis
17,Dabura,Rey Demonio,4500,4200,Control de la mente |$%Lanza de energía |$%Poderes oscuros
18,Goten,Saiyan-Humano,3000,2800,Super Saiyan |$%Kamehameha |$%Tambor del Trueno
19,Gotenks,Saiyan,8000,7500,Super Ghost Kamikaze Attack |$%Ataque rugiente |$%Super Saiyan 3
20,Hit,Asesino,8000,9000,Time Skip |$%Icicle Lance |$%Flash Fist Crush
21,Kibito,Shin-jin,2800,2500,Potara |$%Teletransportación |$%Sanación divina
22,Kid Buu,Majin,9000,9000,Explosión de ki |$%Teletransportación |$%Ataque destructor
23,Krillin,Humano,7500,900,Afterimage Technique|$%Kamehameha Wave
24,Majin Buu,Majin,5000,4800,Regeneración |$%Ataque de chocolate |$%Barrera mágica
25,Mr. Satan,Humano,120,50,Cadena de misiles |$%Superhuman Water |$%Explosión de smog
26,Piccolo,Namek,3500,3000,Regeneración |$%Makankosappo |$%Barrera
27,Super Buu,Majin,7000,6800,Regeneración |$%Ataque de chocolate |$%Barrera mágica
28,Supreme Kai,Shin-jin,7000,6000,Potara |$%Teletransportación |$%Explosión de ki divino
29,Tien,Three-Eyed People,9000,980,Dodon Ray|$%Solar Flare
30,Trunks,Saiyan-Humano,5000,5200,Super Saiyan |$%Espada de energía |$%Ataque del futuro
31,Trunks del futuro,Saiyan,4800,5000,Super Saiyan 2 |$%Espada del juicio |$%Ataque del dragón
32,Videl,Humano,1500,1000,Gran saiyaman |$%Ataque del rayo |$%Patada giratoria
33,Whis,Ángel,10000,12000,Time Manipulation |$%Warrior's Heart |$%Accelerated Healing
34,Yamcha,Humano,1300,1000,Kamehameha|$%Lobo feroz |$%Puño del dragón
35,Goku,Saiyan,500000,10000,Kamehameha|$%Genki Dama|$%Super Saiyan
